Ciudad,anio,NCB,ASB,VSP,SP,NHB,ACB,AIC,SB,SA,FB,DP,LPE,TI,AES,Op,IPS
Cartagena,2012,59.062011483,85.5797903324,41.0912868131,61.317710096,61.7626996811,65.8412705321,47.3542109581,72.85509235,50.3392259711,59.0974499528,15.7511302937,27.8699225634,30.7160949475,29.8246015925,26.0404373493,48.9668623277
Ibagué,2012,69.4552218829,64.2501820866,47.4890828889,43.0456263335,56.060028298,60.9521952347,60.6148225926,39.3307214486,70.2988450719,57.799146087,58.1925456957,26.9530404257,32.2538186444,33.6310296076,37.7576085933,50.5389276594
Manizales,2012,74.6424083602,98.283336416,90.9428414308,51.9282026594,78.9491972166,70.4489200451,78.9737149385,36.7397039407,73.7397275149,64.9755166098,43.733361314,59.0885669436,72.1036826033,61.3938881219,59.0798747457,67.6681961907
Medellín,2012,76.9765706071,97.5697969445,88.4622809159,41.3103740732,76.0797556352,83.6506535939,68.6037039,46.7284234285,70.8622740665,67.4612637472,51.467517091,61.2776826162,64.5000032058,55.5264550615,58.1929144936,67.2446446253
Pereira,2012,67.4431640055,95.8595502807,84.7094014019,35.8790058712,70.9727803898,76.2871249609,65.3521558194,18.3788177248,83.5993027445,60.9043503124,51.5886956031,57.5413695995,53.0938667483,43.2769488489,51.3752202,61.0841169674
Valledupar,2012,65.3309073885,85.5948280582,50.1325753098,35.479460919,59.1344429189,48.3936131187,40.4214558214,55.6167645508,83.6334118209,57.016311328,51.8231561868,40.47667784,46.8679513551,25.2828854941,41.112667719,52.4211406553
Barranquilla,2013,61.6594200594,91.267170271,61.8541538846,70.8144996683,71.3988109708,70.4438260398,56.0986706906,49.0839394493,51.6689191728,56.8238388381,40.8700880342,61.476353476,36.3851261628,39.784375671,44.628985836,57.6172118816
Bogotá,2013,82.0562722336,84.3968882923,79.6226113808,72.2826637524,79.5896089148,89.6160707218,84.9437084151,78.5972110825,76.11403699,82.3177568024,40.464021272,63.7420076059,32.021034926,70.2432383021,51.6175755265,71.1749804146
Bucaramanga,2013,70.281339488,90.1173880982,56.6676723585,47.635383048,66.1754457482,83.8816374713,89.1501834705,45.6489251242,83.8016685476,75.6206036534,50.9208217447,34.0388902494,68.1132012942,84.738687157,59.4529001113,67.082983171
Cali,2013,70.3949501712,88.9777940109,60.852634718,20.0301065942,60.0638713736,59.6603478754,66.9328026745,51.2627909315,74.0514256088,62.9768417725,21.0818634476,67.7832138574,40.9186506455,33.9586981149,40.9356065163,54.6587732208
Cartagena,2013,64.2269776094,87.2810969172,42.8343362982,58.6339536623,63.2440911218,65.8392951572,55.4641834913,77.6434734627,56.7009900638,63.9119855438,19.3251147641,33.4284163886,11.3949761682,34.5858467758,24.6835885242,50.6132217299
Ibagué,2013,74.2035231096,76.586950182,74.7774223332,53.9163066004,69.8710505563,57.7019443731,72.6727223386,36.7899109905,71.0673233886,59.5579752727,66.2416979515,34.3006131451,37.4984106014,39.6492023728,44.4224810177,57.9505022822
Manizales,2013,72.8533208675,93.8440693147,86.9571696374,49.4211563935,75.7689290533,65.0706026131,85.494598013,43.7681029303,79.7857684897,68.5297680115,55.3835437785,69.6686176662,83.0264937425,69.3812163775,69.3649678912,71.221221652
Medellín,2013,79.8151032599,94.2498026784,80.1635498943,45.630430471,74.9647215759,83.0448085259,77.7415748372,43.0535830277,82.4605280827,71.5751236184,60.0927188323,65.0754797744,65.4157984032,59.9714508298,62.6388619599,69.7262357181
Pereira,2013,68.385828067,95.0213377456,75.9752717178,29.4482779363,67.2076788667,73.3857080733,75.8505715353,37.8757544448,78.8424763915,66.4886276112,41.0166356069,52.4452717243,59.3681800741,47.3652751923,50.0488406494,61.2483823758
Valledupar,2013,67.7578603875,88.1859133512,48.3225699552,41.6113115144,61.4694138021,50.9281494749,50.1439332276,55.7921432554,80.204772761,59.2672496797,57.3873497429,45.2403561003,51.424905597,27.1279576627,45.2951422757,55.3439352525
